name, vocabulary_machine_name, description, format, weight, parent, description_field, field_iso3, field_linked_uris, field_old_geopolitical_ontology_, name_field, synonyms_synonyms, synonyms_synonyms, Term name
Inde,countries,,,225,,,,,,Inde,,,Inde
India,countries,,,224,,,IND,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/India,http://aims.fao.org/aos/geopolitical.owl#India,India,,,India
Indian Ocean Territories,countries,,,226,,,,,,Indian Ocean Territories,,,Indian Ocean Territories
Indonesia,countries,,,219,,,IDN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Indonesia,http://aims.fao.org/aos/geopolitical.owl#Indonesia,Indonesia,,,Indonesia
Indonésie,countries,,,220,,,,,,Indonésie,,,Indonésie
Iran,countries,,,235,,,IRN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Iran_Islamic_Rep_of_,http://aims.fao.org/aos/geopolitical.owl#Iran_Islamic_Rep_of_,Iran,,,Iran
Iraq,countries,,,236,,,IRQ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Iraq,http://aims.fao.org/aos/geopolitical.owl#Iraq,Iraq,,,Iraq
Ireland,countries,,,232,,,IRL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ireland,http://aims.fao.org/aos/geopolitical.owl#Ireland,Ireland,,,Ireland
Irlanda,countries,,,233,,,,,,Irlanda,,,Irlanda
Irlande,countries,,,234,,,,,,Irlande,,,Irlande
Isla de Man,countries,,,222,,,,,,Isla de Man,,,Isla de Man
Isla Norfolk,countries,,,345,,,,,,Isla Norfolk,,,Isla Norfolk
Islande,countries,,,240,,,,,,Islande,,,Islande
Islandia,countries,,,239,,,,,,Islandia,,,Islandia
Islas Ashmore y Cartier,countries,,,26,,,,,,Islas Ashmore y Cartier,,,Islas Ashmore y Cartier
Islas Caimán,countries,,,114,,,,,,Islas Caimán,,,Islas Caimán
